comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.88          313                1                  0    1        32        61        1         0         5         10000     10000     1000             300         1           0           16            .022274      .016762     .006295           4.392856            4.392853           4.430000             6             0
3.06          303                1                  0    1        32        61        1         0         5         10000     10000     10000            300         0           0           16            .008827      NA          .026548           4.429157            4.429144           4.440000             4             0
2.87          313                1                  0    1        32        61        1         0         5         10000     10000     10000            300         1           0           16            .014841      .012611     .006915           4.326135            4.326131           4.350000             6             0
2.94          304                1                  0    1        32        61        1         0         5         10000     10000     10000            300         0           0           16            .005996      NA          .026717           4.330067            4.330055           4.340000             4             0
2.87          312                1                  0    1        32        61        1         0         5         10000     10000     10000            300         1           0           16            .020633      .011510     .005971           4.299248            4.299245           4.330000             6             0
2.87          303                1                  0    1        32        61        1         0         5         10000     10000     10000            300         0           0           16            .008792      NA          .029729           4.277344            4.277333           4.280000             4             0
2.88          312                1                  0    1        32        61        1         0         5         10000     10000     10000            300         1           0           16            .012459      .013662     .006014           4.276881            4.276877           4.300000             6             0
2.84          303                1                  0    1        32        61        1         0         5         10000     10000     10000            300         0           0           16            .008859      NA          .029020           4.280751            4.280740           4.290000             4             0
3.07          312                1                  0    1        32        61        1         0         5         10000     10000     10000            300         1           0           16            .015597      .013240     .007508           4.276069            4.276065           4.310000             6             0
2.84          302                1                  0    1        32        61        1         0         5         10000     10000     25000            300         0           0           16            .007276      NA          .028026           4.274924            4.274912           4.280000             4             0
3.01          313                1                  0    1        32        61        1         0         5         10000     10000     25000            300         1           0           16            .013117      .012546     .006598           4.276910            4.276907           4.300000             6             0
3.19          302                1                  0    1        32        61        1         0         5         10000     10000     25000            300         0           0           16            .014049      NA          .021469           4.275426            4.275418           4.290000             4             0
3.05          311                1                  0    1        32        61        1         0         5         10000     10000     25000            300         1           0           16            .012039      .012068     .007250           4.292045            4.292043           4.320000             6             0
3.01          302                1                  0    1        32        61        1         0         5         10000     10000     25000            300         0           0           16            .013976      NA          .023535           4.327748            4.327741           4.340000             4             0
3.06          312                1                  0    1        32        61        1         0         5         10000     10000     25000            300         1           0           16            .014748      .013177     .007041           4.387164            4.387160           4.420000             6             0
2.97          303                1                  0    1        32        61        1         0         5         10000     10000     25000            300         0           0           16            .008842      NA          .027499           4.418261            4.418257           4.430000             4             0
2.91          313                1                  0    1        32        61        1         0         5         10000     10000     25000            300         1           0           16            .014640      .012092     .005215           4.407670            4.407668           4.430000             6             0
3.01          303                1                  0    1        32        61        1         0         5         10000     10000     25000            300         0           0           16            .008876      NA          .028157           4.422942            4.422931           4.430000             4             0
3.10          312                1                  0    1        32        61        1         0         5         10000     10000     25000            300         1           0           16            .012724      .012423     .008013           4.470889            4.470885           4.500000             6             0
