comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001683      NA          .022618           .212826             .266233            .267916              322           207
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10          0           1           2             .000593      NA          .000029           .000442             .000706            .001250              9             189
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100         0           1           2             .000387      NA          .000035           .000388             .000592            .000833              3             239
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000        0           1           2             .000325      NA          .000054           .000583             .000819            .001250              4             235
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10000       0           1           2             .000414      NA          .000288           .002510             .003472            .003750              10            235
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100000      0           1           2             .000444      NA          .002643           .022378             .029492            .030000              35            225
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001273      NA          .022375           .214304             .263933            .265416              323           208
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10          0           1           2             .000578      NA          .000028           .000534             .000782            .001250              3             180
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100         0           1           2             .000378      NA          .000034           .000391             .000607            .000833              3             241
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000        0           1           2             .000414      NA          .000053           .000575             .000843            .001250              4             244
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10000       0           1           2             .000330      NA          .000288           .002428             .003053            .003333              7             253
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100000      0           1           2             .000447      NA          .002693           .021369             .026129            .026666              35            257
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001259      NA          .022201           .210224             .272027            .272916              318           201
0.01          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10          0           1           2             .000319      NA          .000027           .000398             .000605            .000833              3             248
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             100         0           1           2             .000405      NA          .000030           .000298             .000467            .000833              3             273
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             1000        0           1           2             .000409      NA          .000050           .000368             .000480            .000833              4             285
0.02          3                  1                  0    4        256       405       1         1         5         10000     10000     1              2500             10000       0           1           2             .000361      NA          .000182           .001203             .001635            .002083              5             296
