program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6996              46.03                475           154%       ~18120        795.407         2370.22          31.69            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.4758              45.79                471           153%       ~18120        795.407         2370.22          30.63            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6219              45.97                471           154%       ~18120        795.407         2370.22          30.66            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.671               46.01                474           153%       ~18120        795.407         2370.22          30.65            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.9076              67.78                475           104%       ~18120        795.407         2370.22          31.02            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.9097              67.79                472           106%       ~18120        795.407         2370.22          31.56            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.7971              67.67                463           107%       ~18120        795.407         2370.22          32.24            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.9154              67.78                466           104%       ~18120        795.407         2370.22          31.40            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.9513              67.85                472           105%       ~18120        795.407         2370.22          31.30            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.8474              67.71                468           106%       ~18120        795.407         2370.22          31.72            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.9201              67.80                475           104%       ~18120        795.407         2370.22          30.62            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.7975              67.70                466           106%       ~18120        795.407         2370.22          31.63            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.992               67.84                467           107%       ~18120        795.407         2370.22          32.18            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 75             1000000     65.8983              67.76                468           106%       ~18120        795.407         2370.22          31.59            on,threads             
