comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             10000            1           1           1           0             .012301      .019728     .011930           .020504             .023779            .040833              190           975
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             1000             1           0           1           0             .000950      NA          .016889           .222450             .225826            .227083              163           188
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             1000             1           1           1           0             .149410      .132593     .014071           .116235             .164975            .236666              184           195
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             100              1           0           1           0             .002159      NA          .020997           2.224435            2.241788           2.242916             164           23
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             100              1           1           1           0             1.037650     1.042865    .016001           1.208221            1.213242           2.254583             187           24
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     50             25000            1           0           1           0             .000841      NA          .013146           .016331             .018034            .019166              124           1718
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     50             25000            1           1           1           0             .006604      .013382     .009773           .015648             .018697            .031666              186           1093
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     50             10000            1           0           1           0             .000857      NA          .014982           .028258             .029883            .031250              150           1216
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     50             10000            1           1           1           0             .011257      .021362     .011723           .020138             .025657            .041666              188           939
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     50             1000             1           0           1           0             .001313      NA          .017064           .222659             .226792            .227916              162           188
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     50             1000             1           1           1           0             .134936      .145809     .014025           .116569             .140527            .236250              184           194
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     50             100              1           0           1           0             .002264      NA          .020744           2.241192            2.241938           2.245000             178           24
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     50             100              1           1           1           0             1.038324     1.041787    .015689           1.208781            1.212036           2.255000             188           24
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     75             25000            1           0           1           0             .000807      NA          .013314           .016168             .018372            .019583              123           1724
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     75             25000            1           1           1           0             .005877      .013721     .009842           .015347             .017650            .031250              184           1085
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     75             10000            1           0           1           0             .000873      NA          .015165           .028533             .029872            .030833              154           1266
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     75             10000            1           1           1           0             .012013      .019498     .011904           .019964             .023709            .040416              186           982
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     75             1000             1           0           1           0             .001324      NA          .016746           .222330             .226458            .227916              167           185
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     75             1000             1           1           1           0             .139509      .147100     .014120           .115889             .148797            .235833              195           195
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     75             100              1           0           1           0             .002551      NA          .021772           2.241111            2.241945           2.244583             165           25
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     75             100              1           1           1           0             1.035592     1.044041    .016205           1.208040            1.211491           2.255000             186           24
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              25000            1           0           1           0             .000677      NA          .011332           .013110             .014777            .015833              114           1836
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              25000            1           1           1           0             .003638      .012047     .008257           .013060             .015809            .026250              181           1113
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1              10000            1           0           1           0             .000697      NA          .012409           .022531             .033189            .034166              130           926
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              10000            1           1           1           0             .009755      .017852     .009507           .015749             .020298            .033750              181           955
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              1000             1           0           1           0             .000775      NA          .014947           .171296             .189035            .190416              149           198
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              1000             1           1           1           0             .117896      .136913     .012179           .085977             .123924            .186250              189           215
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1              100              1           0           1           0             .001095      NA          .016684           1.629055            1.675150           1.676250             159           25
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1              100              1           1           1           0             .875554      .884230     .013262           1.025120            1.412563           1.700833             185           27
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     25             25000            1           0           1           0             .000717      NA          .011244           .012929             .014002            .015000              118           1934
0.03          3                  1                  0    4        256       271       1         1         5         10000     10000     25             25000            1           1           1           0             .004241      .011428     .007963           .012634             .014180            .025416              185           1116
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     25             10000            1           0           1           0             .000640      NA          .012598           .022214             .024016            .025000              139           1269
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     25             10000            1           1           1           0             .009117      .017073     .009364           .016106             .020072            .035416              183           907
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     25             1000             1           0           1           0             .000783      NA          .014961           .162138             .164667            .165833              144           229
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     25             1000             1           1           1           0             .094041      .122570     .012550           .083143             .102306            .174583              183           233
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     25             100              1           0           1           0             .000906      NA          .017776           1.613238            1.623439           1.624583             147           27
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     25             100              1           1           1           0             .787252      .793642     .014099           .839159             .843017            1.635416             203           29
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     50             25000            1           0           1           0             .000652      NA          .011300           .013321             .014308            .015000              117           1887
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     50             25000            1           1           1           0             .004431      .011896     .008382           .012579             .014754            .025833              183           1190
