comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.05          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           2               16            .014841      .014312     .006258           17.450577           17.450574          17.480000            6             0
3.08          311                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           2               16            1.038026     .013247     .013739           15.564308           15.564305          16.610000            6             0
3.09          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           2               16            1.024353     .013460     .012840           18.054059           18.054055          19.090000            6             0
3.05          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           2               16            .013753      1.023403    .013381           17.003214           17.003210          18.040000            6             0
2.91          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           2               16            1.029042     1.006940    .013741           14.311670           14.311667          16.350000            6             0
2.91          314                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           5               16            1.019722     1.002491    .014800           29.373337           29.373332          31.400000            6             0
2.88          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           5               16            .014454      .016132     .008560           32.425764           32.425763          32.460000            6             0
2.91          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           5               16            2.029339     .392110     .015098           34.902792           34.902787          37.320000            6             0
3.10          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           5               16            1.023925     .023712     .009154           28.859080           28.859077          29.910000            6             0
2.89          311                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           5               16            1.016773     .014650     .008645           27.822531           27.822528          28.850000            6             0
