program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               31.4809              32.89                484           220%       ~18120        795.407         2370.22          34.73            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               38.2649              41.83                494           177%       ~18120        795.407         2370.22          36.05            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               33.3144              36.55                488           196%       ~18120        795.407         2370.22          32.44            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               34.6514              35.17                480           203%       ~18120        795.407         2370.22          32.78            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               33.5153              34.75                489           203%       ~18120        795.407         2370.22          31.70            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               33.0056              35.84                515           200%       ~18120        795.407         2370.22          32.65            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               36.4635              39.69                491           182%       ~18120        795.407         2370.22          32.73            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               36.1903              39.45                496           180%       ~18120        795.407         2370.22          31.80            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               34.0131              36.21                497           197%       ~18120        795.407         2370.22          32.43            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     5               31.8989              34.34                493           208%       ~18120        795.407         2370.22          32.90            on,threads             
