comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           6               0             .126525      NA          .029319           .660919             .880942            .932500              200           76
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           1               0             .085387      .044337     .016619           .126952             .180897            .247083              320           231
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           2               0             .085489      .063307     .018946           .201389             .251754            .384166              320           162
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           3               0             .128376      .065367     .020012           .302167             .431984            .514166              327           127
0.01          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           4               0             .127545      .061088     .021929           .398023             .518877            .627500              322           111
0.01          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           5               0             .257910      .273445     .023573           .529694             .807648            1.028750             336           71
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           1           1           6               0             .169976      .461067     .024508           .689231             .824665            1.236666             319           61
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           1               0             .042802      NA          .021783           .054345             .094181            .105416              188           506
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           2               0             .043190      NA          .022186           .083746             .130150            .131250              188           413
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           3               0             .043088      NA          .023621           .116592             .167160            .197500              195           292
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           4               0             .126202      NA          .024009           .136879             .222990            .233750              188           251
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           5               0             .127081      NA          .025708           .178249             .252028            .309166              193           203
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     1           0           1           6               0             .084638      NA          .027270           .261116             .438670            .482500              195           138
