program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.17814              0.44                 213           184%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.183169             0.43                 218           182%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.174291             0.42                 216           182%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.176377             0.44                 220           185%       ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.177911             0.44                 219           189%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.58663              1.83                 215           45%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.56796              1.83                 218           51%        ~20           16.0002         48.0005          0.35             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.66307              1.91                 217           46%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.69431              1.93                 213           47%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.47557              1.74                 218           52%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.72882              2.01                 215           46%        ~20           16.0002         48.0005          0.36             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.53973              1.80                 214           49%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.42694              1.69                 216           58%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.56553              1.83                 220           51%        ~20           16.0002         48.0005          0.37             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.55718              1.80                 215           51%        ~20           16.0002         48.0005          0.35             on,threads             
